Thumb,Index,Middle,Ring,Pinky,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,gesture
0.0104,0.0,0.0,0.0,0.2434,4935.59,17394.89,-17645.49,-132.49,177.39,-135.64,HELLO
0.0155,0.0,0.0,0.0,0.2998,4451.59,17266.89,-17925.49,-291.49,-167.61,-68.64,HELLO
0.0117,0.0,0.0,0.0,0.3174,4787.59,17342.89,-17677.49,-230.49,-505.61,-48.64,HELLO
0.0142,0.0,0.0,0.0,0.2962,4939.59,17334.89,-17637.49,-236.49,-256.61,-188.64,HELLO
0.0091,0.0,0.0,0.0,0.2258,4911.59,17498.89,-17441.49,-225.49,610.39,-375.64,HELLO
0.0117,0.0,0.0,0.0,0.1448,4487.59,17294.89,-17797.49,-111.49,-216.61,-103.64,HELLO
0.0041,0.0,0.0,0.0,0.0814,4619.59,17306.89,-17621.49,189.51,-180.61,-40.64,HELLO
0.0015,0.0,0.0,0.0,0.0814,4799.59,17482.89,-17457.49,262.51,75.39,-68.64,HELLO
0.0053,0.0,0.0,0.0,0.1272,4655.59,17450.89,-17729.49,85.51,146.39,-156.64,HELLO
0.0053,0.0,0.0,0.0,0.1976,4583.59,17438.89,-18001.49,148.51,109.39,-182.64,HELLO
0.0053,0.0,0.0,0.0,0.2857,4447.59,17262.89,-18165.49,171.51,-399.61,-4.64,HELLO
0.0193,0.0,0.0,0.0,0.3561,4747.59,17446.89,-17965.49,-124.49,-426.61,76.36,HELLO
0.0142,0.0,0.0,0.0,0.3561,4871.59,17314.89,-17769.49,-346.49,-198.61,40.36,HELLO
0.0117,0.0,0.0,0.0,0.2998,4447.59,17494.89,-17617.49,-423.49,333.39,-156.64,HELLO
0.0091,0.0,0.0,0.0,0.2328,4591.59,17318.89,-17461.49,-281.49,-135.61,-47.64,HELLO
0.0066,0.0,0.0,0.0,0.1624,4711.59,17470.89,-17321.49,-57.49,206.39,-4.64,HELLO
0.0041,0.0,0.0,0.0,0.0919,4539.59,17486.89,-17413.49,175.51,241.39,-46.64,HELLO
0.0041,0.0,0.0,0.0,0.0743,4851.59,17554.89,-17513.49,186.51,149.39,-81.64,HELLO
0.0041,0.0,0.0,0.0,0.1131,4591.59,17374.89,-17521.49,149.51,214.39,-99.64,HELLO
0.0053,0.0,0.0,0.0,0.2046,4831.59,17354.89,-17617.49,323.51,75.39,-0.64,HELLO
0.0091,0.0,0.0,0.0,0.2998,4923.59,17426.89,-17693.49,305.51,211.39,-83.64,HELLO
0.0142,0.0,0.0,0.0,0.3526,4679.59,17234.89,-17981.49,115.51,-106.61,-50.64,HELLO
0.0104,0.0,0.0,0.0,0.3385,4959.59,17202.89,-17921.49,21.51,-339.61,-80.64,HELLO
